nom;espece_id
limousine;1
charolaise;1
aubrac;1
salers;1
blonde d'aquitaine;1
rouge des prés;1
galloway;1
highland;1
bazadaise;1
blanc bleu belge;1
parthenaise;1
gasconne;1
hereford;1
villard de Lans;1
montbéliarde;2
abondance;2
prim'holstein;2
normande;2
vosgienne ;2
simmenthal;2
brune;2
tarentaise;2
jersiaise;2
bleue du nord;2
rouge flamande;2
préalpes du sud;3
blanche du massif central;3
noire du velay;3
bizet;3
grivette;3
rava;3
romane;3
mérinos précoce;3
mérinos d'Arles;3
mourerous;3
thônes et marthod;3
solognote;3
thônes et marthod;4
lacaune;4
manech tête noire;4
basco-béarnaise;4
brigasque;4
manech tête rousse;4
saanen;5
alpine;5
poitevine;5
massif central;5
angora;5
provençale;5
rove;5
mélange;1
mélange;2
mélange;3
mélange;4
mélange;5
